step1,step2,step3,step4,total_duration,from_edge,to_edge
baghramyan_1-,sayat_nova_6-,sayat_nova_5-,abovyan_5,225,1252820505#0,134193294#0
baghramyan_1-,sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,221,1252820505#0,1328664748#0
baghramyan_1-,sayat_nova_6-,teryan_4-,moskovyan_3,281,1252820505#0,1341093415#0
baghramyan_1-,sayat_nova_6-,teryan_4-,teryan_3-,268,1252820505#0,138002006#0
baghramyan_1-,mesrop_mashtoc_3-,mesrop_mashtoc_2-,mesrop_mashtoc_1-,142,1252820505#0,1318893695#0
baghramyan_1-,mesrop_mashtoc_3-,mesrop_mashtoc_2-,isahakyan_4,331,1252820505#0,133126031#0
baghramyan_1-,mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,184,1252820505#0,1341093415#0
baghramyan_1-,mesrop_mashtoc_3-,moskovyan_2,teryan_4,202,1252820505#0,-422986370#2
baghramyan_1-,mesrop_mashtoc_3-,moskovyan_2,teryan_3-,184,1252820505#0,138002006#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,mesrop_mashtoc_2-,mesrop_mashtoc_1-,142,133000078#0,1318893695#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,mesrop_mashtoc_2-,isahakyan_4,331,133000078#0,133126031#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,184,133000078#0,1341093415#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,moskovyan_2,teryan_4,202,133000078#0,-422986370#2
mesrop_mashtoc_4-,mesrop_mashtoc_3-,moskovyan_2,teryan_3-,184,133000078#0,138002006#0
mesrop_mashtoc_4-,sayat_nova_6-,sayat_nova_5-,abovyan_5,204,133000078#0,134193294#0
mesrop_mashtoc_4-,sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,200,133000078#0,1328664748#0
mesrop_mashtoc_4-,sayat_nova_6-,teryan_4-,moskovyan_3,260,133000078#0,1341093415#0
mesrop_mashtoc_4-,sayat_nova_6-,teryan_4-,teryan_3-,247,133000078#0,138002006#0
moskovyan_1,mesrop_mashtoc_3,sayat_nova_6-,sayat_nova_5-,233,1252820503#0,133126030#0
moskovyan_1,mesrop_mashtoc_3,sayat_nova_6-,teryan_5,237,1252820503#0,-430406005#1
moskovyan_1,mesrop_mashtoc_3,sayat_nova_6-,teryan_4-,269,1252820503#0,1369578054
moskovyan_1,moskovyan_2,moskovyan_3,moskovyan_4,162,1252820503#0,1341093416#0
moskovyan_1,moskovyan_2,moskovyan_3,abovyan_4,168,1252820503#0,791826085
moskovyan_1,moskovyan_2,moskovyan_3,abovyan_3-,150,1252820503#0,409155823
moskovyan_1,moskovyan_2,teryan_4,teryan_5,233,1252820503#0,-430406005#1
moskovyan_1,moskovyan_2,teryan_4,sayat_nova_6,273,1252820503#0,137415945#0
moskovyan_1,moskovyan_2,teryan_3-,isahakyan_3,169,1252820503#0,380351865#0
moskovyan_1,moskovyan_2,teryan_3-,teryan_2-,171,1252820503#0,1369578052#0
moskovyan_1,mesrop_mashtoc_2-,mesrop_mashtoc_1-,koryun_3-,108,1252820503#0,133131666#1
mesrop_mashtoc_3-,mesrop_mashtoc_2-,mesrop_mashtoc_1-,koryun_3-,102,137406408#0,133131666#1
mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,moskovyan_4,165,137406408#0,1341093416#0
mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,abovyan_4,171,137406408#0,791826085
mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,abovyan_3-,153,137406408#0,409155823
mesrop_mashtoc_3-,moskovyan_2,teryan_4,teryan_5,236,137406408#0,-430406005#1
mesrop_mashtoc_3-,moskovyan_2,teryan_4,sayat_nova_6,276,137406408#0,137415945#0
mesrop_mashtoc_3-,moskovyan_2,teryan_3-,isahakyan_3,172,137406408#0,380351865#0
mesrop_mashtoc_3-,moskovyan_2,teryan_3-,teryan_2-,174,137406408#0,1369578052#0
mesrop_mashtoc_2-,mesrop_mashtoc_1-,koryun_3-,koryun_2-,131,133126040#0,133342692#0
mesrop_mashtoc_2-,mesrop_mashtoc_1-,koryun_3-,teryan_2,153,133126040#0,-138002002#2
mesrop_mashtoc_2-,mesrop_mashtoc_1-,koryun_3-,teryan_1-,153,133126040#0,138002016#0
mesrop_mashtoc_1-,koryun_3-,koryun_2-,koryun_1-,155,1318893695#0,133000063
mesrop_mashtoc_1-,koryun_3-,koryun_2-,abovyan_2,161,1318893695#0,423956929
mesrop_mashtoc_1-,koryun_3-,koryun_2-,abovyan_1-,189,1318893695#0,136617981
mesrop_mashtoc_1-,koryun_3-,teryan_2,teryan_3,176,1318893695#0,-138002006#3
mesrop_mashtoc_1-,koryun_3-,teryan_2,isahakyan_3,196,1318893695#0,380351865#0
koryun_3,mesrop_mashtoc_1,mesrop_mashtoc_2,moskovyan_1-,247,380585337#0,189835257
koryun_3,mesrop_mashtoc_1,mesrop_mashtoc_2,mesrop_mashtoc_3,243,380585337#0,291974733#0
koryun_3,mesrop_mashtoc_1,mesrop_mashtoc_2,moskovyan_2,245,380585337#0,1254771874#0
sayat_nova_6,mesrop_mashtoc_3-,mesrop_mashtoc_2-,mesrop_mashtoc_1-,155,137415945#0,1318893695#0
sayat_nova_6,mesrop_mashtoc_3-,mesrop_mashtoc_2-,isahakyan_4,344,137415945#0,133126031#0
sayat_nova_6,mesrop_mashtoc_3-,moskovyan_2,moskovyan_3,197,137415945#0,1341093415#0
sayat_nova_6,mesrop_mashtoc_3-,moskovyan_2,teryan_4,215,137415945#0,-422986370#2
sayat_nova_6,mesrop_mashtoc_3-,moskovyan_2,teryan_3-,197,137415945#0,138002006#0
moskovyan_2,moskovyan_3,moskovyan_4,khanjyan_1-,158,1254771874#0,799091563#0
moskovyan_2,moskovyan_3,moskovyan_4,nalbandyan_3,211,1254771874#0,1254519225#0.109
moskovyan_2,moskovyan_3,moskovyan_4,nalbandyan_2-,160,1254771874#0,1254519229#0
moskovyan_2,moskovyan_3,abovyan_4,abovyan_5,203,1254771874#0,134193294#0
moskovyan_2,moskovyan_3,abovyan_4,sayat_nova_5,213,1254771874#0,485211947#0
moskovyan_2,moskovyan_3,abovyan_4,sayat_nova_4-,210,1254771874#0,1328664748#0
moskovyan_2,moskovyan_3,abovyan_3-,abovyan_2-,141,1254771874#0,1091883842
moskovyan_2,teryan_4,sayat_nova_6,baghramyan_1,316,1254771874#0,1342054204
moskovyan_2,teryan_4,sayat_nova_6,mesrop_mashtoc_4,294,1254771874#0,379698350#0
moskovyan_2,teryan_4,sayat_nova_6,mesrop_mashtoc_3-,304,1254771874#0,137406408#0
moskovyan_2,teryan_3-,isahakyan_3,mesrop_mashtoc_2,191,1254771874#0,1318793173#0
moskovyan_2,teryan_3-,isahakyan_3,isahakyan_4,296,1254771874#0,133126031#0
moskovyan_2,teryan_3-,isahakyan_3,mesrop_mashtoc_1-,214,1254771874#0,1318893695#0
